symbol,name,currency,sector,sectorcode,ISIN,trailingPE,EPS,analist_estimate,Price_book,TangibleValuePerShare,enterpriseToEbitda,totalDebt,currentRatio,growthrate,growthrate_quarter,beta,priceToSalesTrailing12Months,extrainfo,value_score,risc_score,growth_score
AAK.ST,AAK,SEK,"Consumer Goods",4510,SE0011337708,26.11194,6.7,8.32852429237363,2.995001,0.127241120533863,16.798,0.167430636031268,1.637,0.0826326471440997,0.913333333333333,0.488444,0.972529,"",60.0,30.0,60.0
ALK-B.CO,"ALK-Abelló B",DKK,"Health Care",2010,DK0061802139,68.15068,1.46,44.9070427585274,5.5683026,0.00575902583323714,39.205,0.0327012510356857,1.976,0.166037735849057,0.693877551020408,0.334116,5.1858416,"",51.0,50.0,90.0
ALMB.CO,"Alm. Brand",DKK,Financials,3030,DK0015250344,57.399998,0.2,31.4924550851569,1.2984957,0.0,17.475,0.110086525811543,0.18,-0.133887320328542,4.31612903225806,1.096357,2.313225,FINANCE,69.0,50.0,50.0
AMBU-B.CO,Ambu,DKK,"Health Care",2010,DK0060946788,266.48648,0.37,7.16389675235452,5.879196,0.027690930302833,100.012,0.0851496077275122,1.984,0.315957446808511,-0.175,0.631022,5.6860065,"",56.0,60.0,40.0
ATRLJ-B.ST,"Atrium Ljungberg B",SEK,"Real Estate",3510,SE0000191827,8.963741,19.802,21.4089570719963,1.0033804,0.0,27.921,1.18031015359741,2.27,0.0805439330543933,1.25885558583106,0.893881,7.5699863,"",83.0,30.0,70.0
AXFO.ST,Axfood,SEK,"Consumer Goods",4520,SE0006993770,30.493565,9.32,8.06192999430458,18.327208,0.0544527776864613,15.745,0.1150138210853,0.649,0.093958614952688,1.65056360708535,0.156611,0.839409,"",56.0,60.0,60.0
BALD-B.ST,"Fast. Balder B",SEK,"Real Estate",3510,SE0017832488,1.3379993,36.79,41.9598278919959,0.1577153,0.103967268466433,23.999,15.2569933899324,2.024,0.181768855127509,0.997973657548126,1.019683,0.8326195,"",54.0,50.0,90.0
BILI-A.ST,"Bilia A",SEK,"Consumer Services",4040,SE0009921588,9.64861,11.981,9.83727779660062,2.6585715,0.119253236458365,5.717,0.474593828615891,1.07,0.0884275244873511,1.06864988558352,0.585365,0.32452673,"",54.0,30.0,60.0
BILL.ST,Billerud,SEK,"Basic Materials",5510,SE0000862997,34.368336,4.219,9.01110345355693,1.5285684,0.114380788271294,5.981,0.254398077125799,1.27,0.0356677455967044,0.0,0.496362,0.8004135,"",53.0,40.0,10.0
BURE.ST,"Bure Equity",SEK,Financials,3020,SE0000195810,2.6749089,88.003,0.0,0.99890095,0.000114585736946774,-2.337,0.000229171473893547,26.81,0.838017002158305,-1.84867951463241,1.46427,-2.7060742,FINANCE,65.0,30.0,40.0
CAST.ST,Castellum,SEK,"Real Estate",3510,SE0000379190,4.0117416,32.704,7.19361440930253,0.7232037,0.00906458561566916,18.641,1.76372220516041,0.8,0.0623543123543124,0.199648197009675,0.979888,4.7319818,"",51.0,40.0,60.0
