nasdaq_nordic_large.csv:ALK-Abelló B;ALK B;DKK;DK0061802139;ALK-B.CO;Health Care;2010;
nasdaq_nordic_large.csv:Alm. Brand;ALMB;DKK;DK0015250344;ALMB.CO;Financials;3030;
nasdaq_nordic_large.csv:Ambu;AMBU B;DKK;DK0060946788;AMBU-B.CO;Health Care;2010;
nasdaq_nordic_large.csv:Bavarian Nordic;BAVA;DKK;DK0015998017;BAVA.CO;Health Care;2010;
nasdaq_nordic_large.csv:BICO Group;BICO;SEK;SE0013647385;BICO.ST;Health Care;2010;
nasdaq_nordic_large.csv:Carlsberg A;CARL A;DKK;DK0010181676;CARL-A.CO;Consumer Goods;4510;
nasdaq_nordic_large.csv:Carlsberg B;CARL B;DKK;DK0010181759;CARL-B.CO;Consumer Goods;4510;
nasdaq_nordic_large.csv:ChemoMetec;CHEMM;DKK;DK0060055861;CHEMM.CO;Health Care;2010;
nasdaq_nordic_large.csv:Chr. Hansen Holding;CHR;DKK;DK0060227585;CHR.CO;Health Care;2010;
nasdaq_nordic_large.csv:Coloplast B;COLO B;DKK;DK0060448595;COLO-B.CO;Health Care;2010;
nasdaq_nordic_large.csv:Danske Bank;DANSKE;DKK;DK0010274414;DANSKE.CO;Financials;3010;
nasdaq_nordic_large.csv:Demant;DEMANT;DKK;DK0060738599;DEMANT.CO;Health Care;2010;
nasdaq_nordic_large.csv:DFDS;DFDS;DKK;DK0060655629;DFDS.CO;Industrials;5020;
nasdaq_nordic_large.csv:DSV;DSV;DKK;DK0060079531;DSV.CO;Industrials;5020;
nasdaq_nordic_large.csv:FLSmidth & Co.;FLS;DKK;DK0010234467;FLS.CO;Industrials;5010;
nasdaq_nordic_large.csv:Genmab;GMAB;DKK;DK0010272202;GMAB.CO;Health Care;2010;
nasdaq_nordic_large.csv:GN Store Nord;GN;DKK;DK0010272632;GN.CO;Health Care;2010;
nasdaq_nordic_large.csv:H. Lundbeck A;HLUN A;DKK;DK0061804697;HLUN-A.CO;Health Care;2010;
nasdaq_nordic_large.csv:H. Lundbeck B;HLUN B;DKK;DK0061804770;HLUN-B.CO;Health Care;2010;
nasdaq_nordic_large.csv:ISS;ISS;DKK;DK0060542181;ISS.CO;Industrials;5020;
nasdaq_nordic_large.csv:Jeudan;JDAN;DKK;DK0061282464;JDAN.CO;Real Estate;3510;
nasdaq_nordic_large.csv:Jyske Bank;JYSK;DKK;DK0010307958;JYSK.CO;Financials;3010;
nasdaq_nordic_large.csv:Københavns Lufthavne;KBHL;DKK;DK0010201102;KBHL.CO;Industrials;5020;
nasdaq_nordic_large.csv:A.P. Møller - Mærsk A;MAERSK A;DKK;DK0010244425;MAERSK-A.CO;Industrials;5020;
nasdaq_nordic_large.csv:A.P. Møller - Mærsk B;MAERSK B;DKK;DK0010244508;MAERSK-B.CO;Industrials;5020;
nasdaq_nordic_large.csv:Netcompany Group;NETC;DKK;DK0060952919;NETC.CO;Technology;1010;
nasdaq_nordic_large.csv:NKT;NKT;DKK;DK0010287663;NKT.CO;Industrials;5020;
nasdaq_nordic_large.csv:Novo Nordisk B;NOVO B;DKK;DK0060534915;NOVO-B.CO;Health Care;2010;
nasdaq_nordic_large.csv:NTG Nordic Transport Group;NTG;DKK;DK0061141215;NTG.CO;Industrials;5020;
nasdaq_nordic_large.csv:Novozymes B;NZYM B;DKK;DK0060336014;NZYM-B.CO;Health Care;2010;
nasdaq_nordic_large.csv:Ørsted;ORSTED;DKK;DK0060094928;ORSTED.CO;Utilities;6510;
nasdaq_nordic_large.csv:Össur;OSSR;DKK;IS0000000040;OSSR.CO;Health Care;2010;
nasdaq_nordic_large.csv:Pandora;PNDORA;DKK;DK0060252690;PNDORA.CO;Consumer Services;4020;
nasdaq_nordic_large.csv:Royal UNIBREW;RBREW;DKK;DK0060634707;RBREW.CO;Consumer Goods;4510;
nasdaq_nordic_large.csv:Ringkjøbing Landbobank;RILBA;DKK;DK0060854669;RILBA.CO;Financials;3010;
nasdaq_nordic_large.csv:Rockwool A;ROCK A;DKK;DK0010219070;ROCK-A.CO;Industrials;5010;
nasdaq_nordic_large.csv:Rockwool B;ROCK B;DKK;DK0010219153;ROCK-B.CO;Industrials;5010;
nasdaq_nordic_large.csv:Schouw & Co.;SCHO;DKK;DK0010253921;SCHO.CO;Industrials;5020;
nasdaq_nordic_large.csv:SimCorp;SIM;DKK;DK0060495240;SIM.CO;Technology;1010;
nasdaq_nordic_large.csv:Spar Nord Bank;SPNO;DKK;DK0060036564;SPNO.CO;Financials;3010;
nasdaq_nordic_large.csv:Scandinavian Tobacco Group;STG;DKK;DK0060696300;STG.CO;Consumer Goods;4510;
nasdaq_nordic_large.csv:Sydbank;SYDB;DKK;DK0010311471;SYDB.CO;Financials;3010;
nasdaq_nordic_large.csv:Topdanmark;TOP;DKK;DK0060477503;TOP.CO;Financials;3030;
nasdaq_nordic_large.csv:Tryg;TRYG;DKK;DK0060636678;TRYG.CO;Financials;3030;
nasdaq_nordic_large.csv:Vestas Wind Systems;VWS;DKK;DK0061539921;VWS.CO;Energy;6010;
nasdaq_nordic_large.csv:Zealand Pharma;ZEAL;DKK;DK0060257814;ZEAL.CO;Health Care;2010;
nasdaq_nordic_mid.csv:Brdr. A & O Johansen B;AOJ B;DKK;DK0061686714;AOJ-B.CO;Industrials;5020;
nasdaq_nordic_mid.csv:Aquaporin;AQP;DKK;DK0061555109;AQP.CO;Industrials;5020;
nasdaq_nordic_mid.csv:Balco Group;BALCO;SEK;SE0010323998;BALCO.ST;Industrials;5010;
nasdaq_nordic_mid.csv:Better Collective;BETCO;SEK;DK0060952240;BETCO.ST;Technology;1010;
nasdaq_nordic_mid.csv:BankNordik;BNORDIK CSE;DKK;FO0000000088;BNORDIK-CSE.CO;Financials;3010;
nasdaq_nordic_mid.csv:Bang & Olufsen;BO;DKK;DK0010218429;BO.CO;Consumer Services;4020;
nasdaq_nordic_mid.csv:CBRAIN;CBRAIN;DKK;DK0060030286;CBRAIN.CO;Technology;1010;
nasdaq_nordic_mid.csv:Columbus;COLUM;DKK;DK0010268366;COLUM.CO;Technology;1010;
nasdaq_nordic_mid.csv:Danske Andelskassers Bank;DAB;DKK;DK0060299063;DAB.CO;Financials;3010;
nasdaq_nordic_mid.csv:D/S Norden;DNORD;DKK;DK0060083210;DNORD.CO;Industrials;5020;
nasdaq_nordic_mid.csv:Flügger group B;FLUG B;DKK;DK0010218189;FLUG-B.CO;Industrials;5020;
nasdaq_nordic_mid.csv:Gabriel Holding;GABR;DKK;DK0060124691;GABR.CO;Consumer Services;4020;
nasdaq_nordic_mid.csv:Green Hydrogen Systems;GREENH;DKK;DK0061540341;GREENH.CO;Energy;6010;
nasdaq_nordic_mid.csv:Gyldendal A;GYLD A;DKK;DK0010247527;GYLD-A.CO;Consumer Services;4030;
nasdaq_nordic_mid.csv:Gyldendal B;GYLD B;DKK;DK0010247600;GYLD-B.CO;Consumer Services;4030;
nasdaq_nordic_mid.csv:Brdr.Hartmann;HART;DKK;DK0010256197;HART.CO;Industrials;5020;
nasdaq_nordic_mid.csv:H+H International;HH;DKK;DK0015202451;HH.CO;Industrials;5010;
