nasdaq_nordic_large.csv:Cargotec Oyj;CGCBV;EUR;FI0009013429;CGCBV.HE;Industrials;5020;
nasdaq_nordic_large.csv:Citycon Oyj;CTY1S;EUR;FI4000369947;CTY1S.HE;Real Estate;3510;
nasdaq_nordic_large.csv:Elisa Oyj;ELISA;EUR;FI0009007884;ELISA.HE;Telecommunications;1510;
nasdaq_nordic_large.csv:Fortum Oyj;FORTUM;EUR;FI0009007132;FORTUM.HE;Utilities;6510;
nasdaq_nordic_large.csv:Fiskars Oyj Abp;FSKRS;EUR;FI0009000400;FSKRS.HE;Consumer Services;4020;
nasdaq_nordic_large.csv:Huhtamäki Oyj;HUH1V;EUR;FI0009000459;HUH1V.HE;Industrials;5020;
nasdaq_nordic_large.csv:Konecranes Oyj;KCR;EUR;FI0009005870;KCR.HE;Industrials;5020;
nasdaq_nordic_large.csv:Kemira Oyj;KEMIRA;EUR;FI0009004824;KEMIRA.HE;Basic Materials;5520;
nasdaq_nordic_large.csv:Kesko Oyj A;KESKOA;EUR;FI0009007900;KESKOA.HE;Consumer Goods;4520;
nasdaq_nordic_large.csv:Kesko Oyj B;KESKOB;EUR;FI0009000202;KESKOB.HE;Consumer Goods;4520;
nasdaq_nordic_large.csv:KONE Oyj;KNEBV;EUR;FI0009013403;KNEBV.HE;Industrials;5020;
nasdaq_nordic_large.csv:Kojamo Oyj;KOJAMO;EUR;FI4000312251;KOJAMO.HE;Real Estate;3510;
nasdaq_nordic_large.csv:Metsä Board Oyj A;METSA;EUR;FI0009000640;METSA.HE;Basic Materials;5510;
nasdaq_nordic_large.csv:Metsä Board Oyj B;METSB;EUR;FI0009000665;METSB.HE;Basic Materials;5510;
nasdaq_nordic_large.csv:Metso Outotec Oyj;MOCORP;EUR;FI0009014575;MOCORP.HE;Industrials;5020;
nasdaq_nordic_large.csv:Nordea Bank Abp;NDA FI;EUR;FI4000297767;NDA-SE.ST;Financials;3010;
nasdaq_nordic_large.csv:Neste Oyj;NESTE;EUR;FI0009013296;NESTE.HE;Energy;6010;
nasdaq_nordic_large.csv:Nokia Oyj;NOKIA;EUR;FI0009000681;NOKIA.HE;Telecommunications;1510;
