name;symbolnasdaq;currency;isin;symbol;sector;sector_code;
TRATON;8TRA;SEK;DE000TRAT0N7;Industrials;5020;
AAK;AAK;SEK;SE0011337708;AAK.ST;Consumer Goods;4510;
ABB Ltd;ABB;SEK;CH0012221716;ABBN.SW;Industrials;5020;
Addtech B;ADDT B;SEK;SE0014781795;ADDT-B.ST;Industrials;5020;
AFRY;AFRY;SEK;SE0005999836;AFRY.ST;Industrials;5010;
Alfa Laval;ALFA;SEK;SE0000695876;ALFA.ST;Industrials;5020;
AddLife B;ALIF B;SEK;SE0014401378;ALIF-B.ST;Health Care;2010;
Autoliv SDB;ALIV SDB;SEK;SE0000382335;ALIV-SDB.ST;Consumer Services;4010;
ALK-Abelló B;ALK B;DKK;DK0061802139;ALK-B.CO;Health Care;2010;
Alleima;ALLEI;SEK;SE0017615644;ALLEI.ST;Basic Materials;5510;
Alm. Brand;ALMB;DKK;DK0015250344;ALMB.CO;Financials;3030;
Ambu;AMBU B;DKK;DK0060946788;AMBU-B.CO;Health Care;2010;
Arion banki;ARION;ISK;IS0000028157;ARION.IC;Financials;3010;
Arion Banki SDB;ARION SDB;SEK;SE0010413567;ARION-SDB.ST;Financials;3010;
Arjo B;ARJO B;SEK;SE0010468116;ARJO-B.ST;Health Care;2010;
ASSA ABLOY B;ASSA B;SEK;SE0007100581;ASSA-B.ST;Industrials;5010;
Atlas Copco A;ATCO A;SEK;SE0017486889;ATCO-A.ST;Industrials;5020;
Atlas Copco B;ATCO B;SEK;SE0017486897;0XXV.IL;Industrials;5020;
Atrium Ljungberg B;ATRLJ B;SEK;SE0000191827;ATRLJ-B.ST;Real Estate;3510;
Axfood;AXFO;SEK;SE0006993770;AXFO.ST;Consumer Goods;4520;
Avanza Bank Holding;AZA;SEK;SE0012454072;AZA.ST;Financials;3010;
AstraZeneca;AZN;SEK;GB0009895292;AZN.L;Health Care;2010;
Fast. Balder B;BALD B;SEK;SE0017832488;BALD-B.ST;Real Estate;3510;
Bavarian Nordic;BAVA;DKK;DK0015998017;BAVA.CO;Health Care;2010;
Beijer Ref B;BEIJ B;SEK;SE0015949748;BEIJ-B.ST;Industrials;5020;
