name;symbolnasdaq;currency;isin;symbol;sector;sector_code;
AcadeMedia;ACAD;SEK;SEK=X;SE0007897079;Consumer Services;4020;
Aktia Bank Abp;AKTIA;EUR;FI4000058870;AKTIA.HE;Financials;3010;
Ålandsbanken Abp A;ALBAV;EUR;FI0009000103;ALBAV.HE;Financials;3010;
Ålandsbanken Abp B;ALBBV;EUR;FI0009001127;ALBBV.HE;Financials;3010;
Alimak Group;ALIG;SEK;SE0007158910;ALIG.ST;Industrials;5020;
Alligo B;ALLIGO B;SEK;SE0009922305;ALLIGO-B.ST;Industrials;5020;
Alma Media Oyj;ALMA;EUR;FI0009013114;ALMA.HE;Consumer Services;4030;
Ambea;AMBEA;SEK;SE0009663826;AMBEA.ST;Health Care;2010;
Annehem Fastigheter B;ANNE B;SEK;SE0015221684;ANNE-B.ST;Real Estate;3510;
Addnode Group B;ANOD B;SEK;SE0017885767;ANOD-B.ST;Technology;1010;
Anora Group Oyj;ANORA;EUR;FI4000292438;ANORA.HE;Consumer Goods;4510;
Africa Oil;AOI;SEK;CA00829Q1019;AOI.TO;Energy;6010;
Brdr. A & O Johansen B;AOJ B;DKK;DK0061686714;AOJ-B.CO;Industrials;5020;
AQ Group;AQ;SEK;SE0000772956;AQ.ST;Industrials;5020;
Aquaporin;AQP;DKK;DK0061555109;AQP.CO;Industrials;5020;
Aspo Oyj;ASPO;EUR;FI0009008072;ASPO.HE;Industrials;5020;
Atria Oyj A;ATRAV;EUR;FI0009006548;ATRAV.HE;Consumer Goods;4510;
Attendo;ATT;SEK;SE0007666110;ATT.ST;Health Care;2010;
Bactiguard Holding B;BACTI B;SEK;SE0005878741;BACTI-B.ST;Health Care;2010;
Balco Group;BALCO;SEK;SE0010323998;BALCO.ST;Industrials;5010;
Basware Oyj;BAS1V;EUR;FI0009008403;BAS1V.HE;Technology;1010;
Beijer Alma B;BEIA B;SEK;SE0011090547;BEIA-B.ST;Basic Materials;5510;
Beijer Electronics Group;BELE;SEK;SE0000671711;BELE.ST;Industrials;5020;
Bergman & Beving B;BERG B;SEK;SE0000101362;BERG-B.ST;Industrials;5020;
Besqab;BESQ;SEK;SE0005991411;BESQ.ST;Consumer Services;4020;
Better Collective;BETCO;SEK;DK0060952240;BETCO.ST;Technology;1010;
Betsson B;BETS B;SEK;SE0018535684;BETS-B.ST;Consumer Services;4050;
BioInvent International;BINV;SEK;SE0015244520;BINV.ST;Health Care;2010;
BioArctic B;BIOA B;SEK;SE0010323311;BIOA-B.ST;Health Care;2010;
BioGaia B;BIOG B;SEK;SE0017769995;BIOG-B.ST;Health Care;2010;
Bittium Oyj;BITTI;EUR;FI0009007264;BITTI.HE;Technology;1010;
Byggmax Group;BMAX;SEK;SE0003303627;BMAX.ST;Consumer Services;4040;
BankNordik;BNORDIK CSE;DKK;FO0000000088;BNORDIK-CSE.CO;Financials;3010;
Bang & Olufsen;BO;DKK;DK0010218429;BO.CO;Consumer Services;4020;
Bonava A;BONAV A;SEK;SE0008091573;BONAV-A.ST;Consumer Services;4020;
Bonava B;BONAV B;SEK;SE0008091581;BONAV-B.ST;Consumer Services;4020;
BONESUPPORT HOLDING;BONEX;SEK;SE0009858152;BONEX.ST;Health Care;2010;
Brim;BRIM;ISK;IS0000000297;BRIM.IC;Consumer Goods;4510;
Brinova Fastigheter B;BRIN B;SEK;SE0008347652;BRIN-B.ST;Real Estate;3510;
BTS Group B;BTS B;SEK;SE0000805426;BTS-B.ST;Industrials;5020;
Bulten;BULTEN;SEK;SE0003849223;BULTEN.ST;Consumer Services;4010;
Calliditas Therapeutics;CALTX;SEK;SE0010441584;CALTX.ST;Health Care;2010;
Camurus;CAMX;SEK;SE0007692850;CAMX.ST;Health Care;2010;
Cantargia;CANTA;SEK;SE0006371126;CANTA.ST;Health Care;2010;
CapMan Oyj;CAPMAN;EUR;FI0009009377;CAPMAN.HE;Financials;3020;
Catella A;CAT A;SEK;SE0000188500;CAT-A.ST;Financials;3020;
Catella B;CAT B;SEK;SE0000188518;CAT-B.ST;Financials;3020;
Caverion Oyj;CAV1V;EUR;FI4000062781;CAV1V.HE;Industrials;5020;
CBRAIN;CBRAIN;DKK;DK0060030286;CBRAIN.CO;Technology;1010;
Cavotec;CCC;SEK;CH0136071542;CCC.ST;Industrials;5020;
CellaVision;CEVI;SEK;SE0000683484;CEVI.ST;Health Care;2010;
Cibus Nordic Real Estate;CIBUS;SEK;SE0010832204;CIBUS.ST;Real Estate;3510;
Cloetta B;CLA B;SEK;SE0002626861;CLA-B.ST;Consumer Goods;4510;
Clas Ohlson B;CLAS B;SEK;SE0000584948;CLAS-B.ST;Consumer Services;4040;
Concentric;COIC;SEK;SE0003950864;COIC.ST;Industrials;5020;
Collector Bank;COLL;SEK;SE0017831795;COLL.ST;Financials;3010;
Columbus;COLUM;DKK;DK0010268366;COLUM.CO;Technology;1010;
Coor Service Management Hold.;COOR;SEK;SE0007158829;COOR.ST;Industrials;5020;
CTEK;CTEK;SEK;SE0016798763;CTEK.ST;Energy;6010;
Catena Media;CTM;SEK;MT0001000109;CTM.ST;Consumer Services;4030;
CTT Systems;CTT;SEK;SE0000418923;CTT.ST;Industrials;5020;
Danske Andelskassers Bank;DAB;DKK;DK0060299063;DAB.CO;Financials;3010;
