name;symbolnasdaq;currency;isin;symbol;sector;sector_code;
AaB;AAB;DKK;DKKUSD=X;DK0060868966;Consumer Services;4030;
Abliva;ABLI;SEK;SE0002575340;ABLI.ST;Health Care;2010;
Ascelia Pharma;ACE;SEK;SE0010573113;ACE.ST;Health Care;2010;
Aspocomp Group Oyj;ACG1V;EUR;FI0009008080;ACG1V.HE;Technology;1010;
Active Biotech;ACTI;SEK;SE0001137985;ACTI.ST;Health Care;2010;
Afarak Group;AFAGR;EUR;FI0009800098;AFAGR.HE;Basic Materials;5510;
Agat Ejendomme;AGAT;DKK;DK0010258995;AGAT.CO;Real Estate;3510;
AGF B;AGF B;DKK;DK0010263722;AGF-B.CO;Consumer Services;4050;
Anoto Group;ANOT;SEK;SE0010415281;ANOT.ST;Technology;1010;
Apetit Oyj;APETIT;EUR;FI0009003503;APETIT.HE;Consumer Goods;4510;
Arise;ARISE;SEK;SE0002095604;ARISE.ST;Utilities;6510;
Arctic Paper;ARP;SEK;PLARTPR00012;ATC.WA;Basic Materials;5510;
Arla Plast;ARPL;SEK;SE0015810817;ARPL.ST;Industrials;5020;
Actic Group;ATIC;SEK;SE0009269467;ATIC.ST;Consumer Services;4050;
Atlantic Petroleum;ATLA DKK;DKK;FO000A0DN9X4;ATLA-DKK.CO;Energy;6010;
Alligator Bioscience;ATORX;SEK;SE0000767188;ATORX.ST;Health Care;2010;
B3 Consulting Group;B3;SEK;SE0008347660;B3.ST;Technology;1010;
BE Group;BEGR;SEK;SE0008321921;BEGR.ST;Basic Materials;5510;
Brøndby IF;BIF;DKK;DK0010247956;BIF.CO;Consumer Services;4050;
Biohit Oyj B;BIOBV;EUR;FI0009005482;BIOBV.HE;Health Care;2010;
BioPorto;BIOPOR;DKK;DK0011048619;BIOPOR.CO;Health Care;2010;
Blue Vision A;BLVIS A;DKK;DK0061155009;BLVIS-A.CO;Real Estate;3510;
Bong;BONG;SEK;SE0000396061;BONG.ST;Industrials;5020;
Boreo Oyj;BOREO;EUR;FI0009900724;BOREO.HE;Industrials;5020;
Björn Borg;BORG;SEK;SE0017766520;BORG.ST;Consumer Services;4020;
Boule Diagnostics;BOUL;SEK;SE0011231158;BOUL.ST;Health Care;2010;
Bergs Timber B;BRG B;SEK;SE0018012932;BRG-B.ST;Basic Materials;5510;
Christian Berner Tech Trade B;CBTT B;SEK;SE0006143129;CBTT-B.ST;Industrials;5020;
Concordia Maritime B;CCOR B;SEK;SE0000102824;CCOR-B.ST;Industrials;5020;
Cemat;CEMAT;DKK;DK0010271584;CEMAT.CO;Technology;1010;
Concejo B;CNCJO B;SEK;SE0000236382;CNCJO-B.ST;Industrials;5020;
Consti Oyj;CONSTI;EUR;FI4000178256;CONSTI.HE;Industrials;5020;
Copenhagen Capital Præf;CPHCAP PREF;DKK;DK0060732980;CPHCAP-PREF.CO;Real Estate;3510;
Copenhagen Capital Stam;CPHCAP ST;DKK;DK0060093607;CPHCAP-ST.CO;Real Estate;3510;
C-RAD B;CRAD B;SEK;SE0002016352;CRAD-B.ST;Health Care;2010;
Componenta Oyj;CTH1V;EUR;FI4000476783;CTH1V.HE;Basic Materials;5510;
Dantax;DANT;DKK;DK0015205637;DANT.CO;Consumer Services;4020;
Dedicare B;DEDI;SEK;SE0003909282;DEDI.ST;Health Care;2010;
Digitalist Group Oyj;DIGIGR;EUR;FI0009008007;DIGIGR.HE;Technology;1010;
Djurslands Bank;DJUR;DKK;DK0060136273;DJUR.CO;Financials;3010;
DORO;DORO;SEK;SE0000215493;DORO.ST;Telecommunications;1510;
