index;Revenue;"Revenue Growth";"Gross Profit";"Gross Margin ";"Operating Profit";"Operating Margin ";"Earnings Per Share";"EPS Growth";"Dividends Per Share";"Dividend Growth";"Return on Assets";"Return on Equity";"Return on Invested Capital";ISIN;ticker
2012;3327;6.0;634;19.1;147;4.4;1.45;-40.1;1.00;63.9;2.8;7.4;4.9;FI0009013429;CGCBV:FI
2013;3181;-4.4;583;18.3;130;4.1;0.89;-38.6;0.72;-28.0;1.7;4.5;2.7;FI0009013429;CGCBV:FI
2014;3358;5.6;635;18.9;139;4.1;1.11;24.7;0.42;-41.7;2.0;5.8;3.3;FI0009013429;CGCBV:FI
2015;3729;11.1;787;21.1;222;5.9;2.21;99.1;0.55;31.0;4.0;11.2;6.6;FI0009013429;CGCBV:FI
2016;3514;-5.8;840;23.9;244;6.9;1.94;-12.2;0.80;45.5;3.4;9.2;5.9;FI0009013429;CGCBV:FI
2017;3250;-7.5;852;26.2;254;7.8;2.05;5.7;0.95;18.8;3.6;9.4;6.2;FI0009013429;CGCBV:FI
2018;3304;1.7;814;24.6;242;7.3;1.65;-19.5;1.05;10.5;3.0;7.5;4.9;FI0009013429;CGCBV:FI
2019;3683;11.5;873;23.7;259;7.0;1.39;-15.8;1.10;4.8;2.3;6.3;3.9;FI0009013429;CGCBV:FI
2020;3263;-11.4;728;22.3;196;6.0;0.13;-90.6;1.20;9.1;0.2;0.6;0.3;FI0009013429;CGCBV:FI
2021;3315;1.6;733;22.1;203;6.1;3.82;2,838.5;1.08;-10.0;6.2;17.3;10.1;FI0009013429;CGCBV:FI
2012;239;10.2;162;67.7;137;57.3;1.07;436.2;0.16;-;2.8;7.9;4.3;FI4000369947;CTY1S:FI
2013;249;3.8;169;68.0;149;60.0;0.98;-8.3;0.18;11.9;3.3;8.3;5.0;FI4000369947;CTY1S:FI
2014;245;-1.3;169;69.1;150;61.1;0.75;-23.3;0.13;-25.3;2.8;5.8;3.0;FI4000369947;CTY1S:FI
2015;296;20.5;200;67.5;168;57.0;0.70;-6.7;0.67;406.8;2.8;5.6;3.1;FI4000369947;CTY1S:FI
2016;332;12.2;225;67.8;199;60.0;0.90;28.6;0.70;3.9;3.4;7.0;3.7;FI4000369947;CTY1S:FI
2017;338;1.9;229;67.6;201;59.6;0.50;-44.4;0.38;-46.4;1.8;3.9;2.0;FI4000369947;CTY1S:FI
2018;316;-6.5;215;68.0;188;59.5;0.09;-82.0;0.54;43.5;0.4;0.8;0.4;FI4000369947;CTY1S:FI
2019;309;-2.2;217;70.3;193;62.5;0.04;-55.6;0.65;20.8;0.2;0.4;0.2;FI4000369947;CTY1S:FI
2020;296;-4.4;206;69.6;181;61.1;-0.25;-725.0;0.54;-17.2;-0.6;-1.2;-0.7;FI4000369947;CTY1S:FI
2021;292;-1.1;202;69.2;176;60.1;0.54;316.0;0.50;-7.1;2.6;5.2;2.8;FI4000369947;CTY1S:FI
2012;1553;1.5;898;57.8;294;18.9;1.33;3.1;1.30;44.4;10.4;24.8;12.3;FI0009007884;ELISA:FI
2013;1547;-0.4;928;59.9;277;17.9;1.25;-6.0;1.30;-;9.1;23.0;10.7;FI0009007884;ELISA:FI
2014;1535;-0.8;929;60.5;297;19.3;1.41;12.8;1.30;-;9.8;25.8;11.6;FI0009007884;ELISA:FI
2015;1570;2.2;961;61.2;308;19.6;1.52;7.8;1.32;1.5;10.8;26.9;12.7;FI0009007884;ELISA:FI
2016;1636;4.2;1009;61.7;335;20.5;1.61;5.9;1.40;6.1;10.8;27.1;12.7;FI0009007884;ELISA:FI
2017;1787;9.3;1092;61.1;375;21.0;2.11;31.1;1.50;7.1;13.2;33.5;15.7;FI0009007884;ELISA:FI
2018;1832;2.5;1127;61.5;394;21.5;1.98;-6.2;1.65;10.0;12.0;29.2;14.3;FI0009007884;ELISA:FI
2019;1844;0.7;1151;62.4;389;21.1;1.90;-4.0;1.75;6.1;11.1;26.6;13.1;FI0009007884;ELISA:FI
2020;1895;2.8;1181;62.3;405;21.4;2.05;7.9;1.85;5.7;11.2;28.1;13.2;FI0009007884;ELISA:FI
2021;1998;5.5;1235;61.8;422;21.1;2.15;4.9;1.95;5.4;11.3;28.8;13.4;FI0009007884;ELISA:FI
2012;6159;-0.0;3331;54.1;1999;32.5;1.59;-20.1;1.00;-;6.0;13.6;7.4;FI0009007132;FORTUM:FI
2013;5309;-13.8;2872;54.1;1621;30.5;1.36;-14.5;1.00;-;5.0;11.6;6.1;FI0009007132;FORTUM:FI
2014;4088;-23.0;2192;53.6;1288;31.5;3.55;161.0;1.10;10.0;14.1;30.0;16.9;FI0009007132;FORTUM:FI
2015;3459;-15.4;1873;54.1;1026;29.7;4.66;31.3;1.10;-;18.7;33.4;21.8;FI0009007132;FORTUM:FI
2016;3633;5.0;1708;47.0;856;23.6;0.56;-88.0;1.10;-;2.2;3.6;2.6;FI0009007132;FORTUM:FI
2017;4522;24.5;2095;46.3;1110;24.5;0.98;75.0;1.10;-;4.0;6.5;4.7;FI0009007132;FORTUM:FI
2018;5241;15.9;2316;44.2;1259;24.0;0.95;-3.1;1.10;-;3.8;6.6;4.6;FI0009007132;FORTUM:FI
2019;5447;3.9;2726;50.0;1671;30.7;1.67;75.8;1.10;-;6.5;11.7;7.7;FI0009007132;FORTUM:FI
